X,Y,X_scaled,Y_scaled,Bearing
-213,-213,-195.96,196.88,134.8658180918842
-204,-204,-187.68,205.16,132.45221967984193
-201,-201,-184.92000000000002,206.08,131.90230895779482
-202,-202,-185.84,206.08,132.04368934249635
-202,-202,-185.84,206.08,132.04368934249635
-203,-203,-186.76000000000002,206.08,132.1844433157888
-198,-198,-182.16,207.0,131.34777721969368
-176,-176,-161.92000000000002,222.64000000000001,126.02737338510362
-166,-166,-152.72,230.0,123.58416047559298
-148,-148,-136.16,240.12,119.55539615224336
-137,-137,-126.04,244.72,117.25016984614517
-116,-116,-106.72,253.92000000000002,112.79652146794261
-107,-107,-98.44,257.6,110.9139993567127
-85,-85,-78.2,263.12,106.55209648813391
-67,-67,-61.64,267.72,102.96585385281007
-63,-63,-57.96,268.64,102.17513454990505
-64,-64,-58.88,268.64,102.36249241571431
-63,-63,-57.96,268.64,102.17513454990505
-63,-63,-57.96,267.72,102.21571913413085
-64,-64,-58.88,269.56,102.32159060353017
-48,-48,-44.160000000000004,272.32,99.21102654081668
-25,-25,-23.0,275.08,94.77949991880534
-13,-13,-11.96,276.92,92.47303164808766
5,5,4.6000000000000005,277.84000000000003,89.05148103901394
15,15,13.8,277.84000000000003,87.15651988616882
31,31,28.52,278.76,84.15838113318111
